"Educ";"Sanidad";"Pensiones";"Justicia";"Seguridad";"ServSoc";"Transp";"Obras";"Depend";"F_Sanidad";"F_CMayores";"F_Pensiones";"F_Parados";"F_Vivienda";"F_Educ";"EdadIntervalos";"P6"
"61";"2";"2";"2";"3";"2";"3";"2";"3";"3";"2";"3";"2";"2";"3";"2";"(65,96]";"2"
"62";"3";"2";"2";"3";"2";"2";"2";"2";"2";"2";"2";"2";"3";"3";"2";"(35,50]";"3"
"63";"4";"4";"3";"4";"4";"4";"1";"4";"4";"3";"3";"3";"3";"3";"3";"(50,65]";"3"
"65";"3";"3";"3";"3";"3";"3";"2";"3";"3";"3";"3";"3";"3";"3";"3";"(35,50]";"1"
"67";"2";"2";"2";"3";"2";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"(50,65]";"3"
"68";"1";"2";"1";"4";"2";"2";"2";"3";"3";"2";"2";"2";"2";"3";"2";"(50,65]";"3"
"70";"3";"2";"3";"3";"3";"2";"3";"3";"3";"3";"3";"3";"3";"3";"3";"(35,50]";"3"
"71";"3";"2";"2";"3";"1";"3";"3";"4";"3";"1";"1";"3";"3";"3";"3";"(35,50]";"3"
"76";"1";"2";"1";"2";"2";"1";"2";"3";"1";"1";"1";"2";"2";"1";"2";"(50,65]";"3"
"77";"2";"2";"3";"3";"4";"3";"3";"3";"3";"2";"2";"3";"3";"3";"3";"(35,50]";"3"
"78";"3";"3";"3";"4";"2";"4";"2";"3";"4";"3";"3";"3";"2";"3";"3";"(35,50]";"3"
"79";"3";"2";"2";"3";"3";"2";"2";"3";"2";"3";"1";"3";"1";"3";"3";"(50,65]";"3"
"80";"2";"3";"3";"2";"2";"3";"2";"4";"3";"2";"2";"2";"2";"3";"2";"(35,50]";"3"
"81";"1";"1";"4";"4";"4";"2";"1";"3";"1";"1";"3";"3";"3";"2";"1";"(65,96]";"3"
"82";"2";"3";"3";"2";"3";"2";"2";"3";"3";"3";"3";"3";"3";"3";"3";"(50,65]";"3"
"83";"2";"2";"2";"4";"3";"3";"1";"2";"4";"2";"3";"3";"1";"3";"2";"(35,50]";"3"
"84";"3";"1";"3";"1";"3";"3";"1";"1";"1";"3";"3";"2";"3";"3";"3";"[18,35]";"3"
"85";"2";"2";"1";"4";"3";"3";"2";"2";"3";"2";"3";"1";"2";"3";"3";"(50,65]";"3"
"87";"1";"1";"3";"1";"2";"3";"1";"1";"2";"2";"1";"1";"2";"1";"3";"(35,50]";"2"
"88";"2";"3";"3";"2";"4";"3";"2";"3";"2";"3";"2";"2";"2";"3";"2";"(50,65]";"2"
"89";"2";"2";"1";"2";"2";"2";"2";"3";"2";"1";"1";"1";"2";"1";"1";"(65,96]";"1"
"91";"3";"3";"4";"3";"3";"4";"3";"3";"2";"3";"3";"3";"2";"3";"2";"[18,35]";"1"
"92";"2";"2";"2";"3";"2";"3";"2";"2";"2";"2";"3";"3";"2";"3";"3";"[18,35]";"3"
"95";"3";"2";"1";"3";"2";"1";"2";"2";"1";"2";"1";"3";"1";"3";"2";"(35,50]";"3"
"96";"3";"3";"3";"3";"2";"3";"2";"2";"3";"2";"2";"3";"3";"3";"2";"(50,65]";"3"
"97";"2";"2";"2";"3";"2";"2";"2";"2";"2";"3";"3";"3";"3";"3";"3";"(50,65]";"3"
"98";"2";"2";"2";"4";"2";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"(35,50]";"1"
"100";"2";"3";"4";"3";"3";"2";"2";"3";"3";"3";"2";"3";"2";"2";"3";"(35,50]";"3"
"102";"1";"2";"2";"2";"2";"1";"1";"2";"3";"3";"3";"3";"2";"3";"3";"(35,50]";"3"
"103";"3";"3";"3";"3";"3";"3";"2";"2";"3";"3";"3";"3";"3";"3";"3";"(35,50]";"3"
"104";"2";"3";"4";"3";"2";"4";"3";"3";"4";"2";"3";"3";"3";"2";"2";"(50,65]";"3"
"105";"3";"3";"2";"4";"4";"3";"4";"3";"4";"3";"3";"3";"2";"2";"3";"(50,65]";"3"
"106";"2";"4";"3";"3";"2";"3";"3";"3";"3";"3";"2";"3";"3";"3";"2";"[18,35]";"3"
"107";"3";"3";"3";"4";"2";"3";"2";"2";"3";"3";"2";"1";"1";"2";"2";"(65,96]";"2"
"109";"2";"2";"2";"3";"2";"3";"2";"4";"3";"1";"1";"3";"1";"3";"3";"(35,50]";"3"
"110";"3";"3";"4";"4";"1";"3";"4";"4";"3";"3";"2";"3";"2";"2";"3";"(35,50]";"3"
"113";"3";"3";"2";"2";"2";"3";"3";"3";"4";"3";"2";"2";"1";"1";"2";"(65,96]";"3"
"114";"2";"2";"2";"3";"2";"3";"3";"3";"3";"2";"2";"2";"2";"3";"2";"(35,50]";"2"
"116";"2";"3";"4";"3";"4";"2";"2";"2";"2";"3";"3";"3";"3";"3";"1";"(35,50]";"3"
"117";"2";"2";"2";"3";"2";"3";"3";"2";"3";"2";"3";"3";"1";"3";"1";"(50,65]";"3"
"118";"2";"3";"4";"4";"3";"4";"3";"3";"3";"1";"1";"2";"2";"1";"1";"(35,50]";"3"
"119";"3";"3";"2";"3";"2";"3";"3";"4";"3";"3";"3";"3";"2";"3";"3";"(35,50]";"3"
"120";"2";"2";"2";"4";"3";"2";"2";"3";"3";"3";"3";"3";"3";"3";"3";"(65,96]";"3"
