"Educ";"Sanidad";"Pensiones";"Justicia";"Seguridad";"ServSoc";"Transp";"Obras";"Depend";"F_Sanidad";"F_CMayores";"F_Pensiones";"F_Parados";"F_Vivienda";"F_Educ";"EdadIntervalos";"P6"
"697";"2";"3";"2";"2";"2";"3";"2";"3";"3";"3";"1";"1";"1";"1";"2";"(35,50]";"2"
"698";"2";"2";"2";"3";"3";"2";"3";"2";"2";"3";"3";"3";"3";"3";"1";"(35,50]";"3"
"699";"2";"3";"4";"3";"3";"3";"2";"3";"3";"2";"3";"3";"3";"3";"3";"[18,35]";"3"
"700";"2";"3";"2";"3";"2";"3";"2";"2";"4";"3";"2";"3";"2";"2";"3";"(35,50]";"2"
"701";"2";"3";"2";"4";"2";"3";"2";"2";"3";"2";"2";"3";"3";"2";"2";"(35,50]";"3"
"702";"1";"2";"1";"4";"3";"1";"1";"2";"3";"3";"3";"2";"1";"2";"1";"(35,50]";"1"
"704";"3";"3";"3";"4";"2";"3";"2";"3";"4";"3";"3";"3";"3";"3";"3";"[18,35]";"3"
"705";"4";"2";"3";"4";"2";"2";"3";"4";"3";"3";"3";"2";"3";"3";"3";"(35,50]";"3"
"706";"1";"1";"1";"3";"1";"1";"1";"1";"1";"1";"1";"2";"1";"3";"1";"(35,50]";"3"
"707";"3";"3";"2";"3";"4";"2";"2";"4";"3";"3";"2";"3";"2";"2";"3";"(50,65]";"3"
"708";"3";"2";"3";"3";"3";"3";"3";"3";"3";"2";"1";"3";"3";"1";"2";"[18,35]";"2"
"709";"2";"3";"2";"3";"2";"3";"2";"3";"3";"2";"1";"2";"1";"2";"2";"[18,35]";"3"
"710";"2";"3";"2";"3";"2";"2";"2";"2";"2";"1";"1";"2";"2";"1";"2";"(35,50]";"1"
"711";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"2";"2";"3";"(50,65]";"3"
"713";"2";"2";"2";"3";"2";"2";"2";"2";"3";"2";"2";"3";"1";"2";"2";"(50,65]";"2"
"714";"2";"3";"4";"3";"2";"3";"2";"2";"4";"3";"3";"3";"2";"3";"2";"(50,65]";"3"
"715";"2";"3";"2";"3";"2";"2";"3";"1";"3";"3";"3";"3";"3";"3";"2";"(35,50]";"3"
"716";"3";"1";"3";"4";"3";"1";"3";"4";"3";"1";"2";"3";"3";"3";"1";"(50,65]";"3"
"717";"2";"2";"3";"3";"2";"2";"2";"3";"2";"2";"2";"3";"2";"2";"2";"(35,50]";"1"
"718";"3";"2";"3";"3";"2";"2";"3";"1";"3";"2";"3";"3";"2";"3";"2";"(35,50]";"3"
"719";"2";"2";"2";"2";"2";"2";"3";"3";"2";"1";"3";"3";"2";"2";"1";"(50,65]";"2"
"720";"4";"2";"2";"3";"3";"3";"2";"2";"3";"3";"3";"3";"1";"3";"2";"[18,35]";"3"
"721";"3";"3";"3";"4";"2";"3";"3";"3";"1";"3";"1";"3";"3";"3";"2";"(35,50]";"3"
"722";"2";"2";"1";"3";"2";"2";"2";"3";"3";"3";"2";"3";"3";"3";"2";"[18,35]";"3"
"723";"4";"2";"4";"4";"2";"4";"2";"2";"4";"3";"3";"3";"3";"3";"3";"(50,65]";"3"
"724";"4";"4";"4";"3";"2";"3";"3";"2";"3";"3";"3";"3";"2";"1";"3";"(35,50]";"3"
"725";"3";"4";"4";"3";"2";"3";"4";"3";"4";"3";"3";"3";"3";"3";"3";"(35,50]";"1"
"726";"2";"4";"2";"4";"2";"3";"3";"3";"3";"2";"2";"3";"2";"1";"2";"(50,65]";"1"
"728";"2";"1";"1";"3";"2";"2";"1";"2";"3";"2";"2";"3";"2";"3";"2";"(65,96]";"1"
"729";"2";"2";"2";"3";"2";"3";"2";"2";"3";"3";"1";"3";"3";"3";"1";"(50,65]";"3"
"730";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"3";"3";"3";"2";"(35,50]";"3"
"731";"3";"3";"3";"4";"3";"3";"3";"3";"3";"3";"2";"3";"3";"3";"3";"(35,50]";"3"
"732";"2";"2";"1";"3";"2";"2";"2";"2";"2";"3";"3";"3";"3";"3";"3";"(35,50]";"1"
"733";"2";"1";"3";"2";"3";"2";"2";"2";"4";"1";"3";"2";"2";"3";"3";"(35,50]";"3"
"734";"3";"2";"2";"3";"3";"2";"2";"2";"3";"3";"3";"3";"3";"3";"3";"(50,65]";"3"
"735";"3";"3";"4";"3";"4";"4";"3";"3";"3";"3";"3";"3";"3";"3";"3";"(35,50]";"3"
"737";"1";"1";"3";"2";"2";"2";"1";"2";"3";"1";"1";"1";"2";"1";"1";"(35,50]";"2"
"739";"3";"4";"4";"4";"1";"4";"3";"4";"3";"3";"3";"3";"3";"3";"3";"(35,50]";"3"
"741";"2";"2";"2";"3";"2";"2";"2";"2";"3";"2";"2";"2";"2";"2";"2";"(65,96]";"3"
"743";"1";"2";"2";"2";"3";"2";"3";"1";"2";"1";"1";"3";"1";"1";"2";"(35,50]";"3"
"744";"3";"3";"4";"3";"3";"3";"2";"4";"4";"1";"3";"3";"3";"3";"3";"(50,65]";"3"
"745";"3";"3";"3";"3";"3";"3";"2";"2";"3";"3";"3";"3";"3";"3";"3";"(50,65]";"3"
"747";"3";"3";"3";"3";"3";"4";"3";"3";"4";"3";"1";"3";"3";"3";"3";"(35,50]";"3"
"748";"3";"3";"3";"3";"2";"3";"4";"3";"3";"2";"1";"3";"2";"3";"3";"(50,65]";"3"
"749";"2";"2";"2";"2";"3";"3";"3";"3";"3";"3";"3";"2";"3";"3";"3";"[18,35]";"2"
"750";"3";"3";"3";"3";"3";"3";"2";"3";"3";"2";"3";"3";"2";"3";"2";"(50,65]";"3"
"751";"2";"2";"2";"3";"2";"2";"2";"3";"3";"1";"1";"2";"2";"2";"1";"(50,65]";"3"
"752";"3";"2";"3";"4";"4";"3";"2";"2";"3";"1";"2";"3";"2";"2";"2";"(50,65]";"3"
"753";"2";"4";"2";"3";"2";"3";"3";"2";"3";"3";"3";"2";"2";"3";"2";"(65,96]";"2"
"754";"4";"4";"3";"3";"3";"3";"2";"3";"3";"2";"2";"2";"3";"2";"2";"(50,65]";"3"
"755";"3";"4";"2";"4";"3";"3";"2";"3";"3";"3";"3";"2";"3";"2";"2";"(65,96]";"3"
"756";"2";"2";"2";"2";"2";"2";"3";"2";"3";"2";"2";"2";"2";"3";"2";"(65,96]";"3"
"757";"1";"1";"1";"2";"2";"2";"2";"1";"2";"3";"1";"2";"2";"2";"2";"(35,50]";"1"
"758";"3";"3";"3";"3";"2";"2";"2";"3";"3";"2";"2";"3";"2";"2";"2";"(50,65]";"3"
"760";"2";"2";"3";"2";"2";"2";"1";"2";"2";"1";"1";"1";"2";"1";"1";"[18,35]";"3"
"761";"2";"2";"2";"3";"2";"2";"3";"3";"2";"2";"2";"3";"2";"3";"2";"[18,35]";"2"
"762";"3";"3";"4";"3";"3";"3";"3";"4";"4";"3";"3";"3";"3";"2";"2";"(35,50]";"3"
"763";"1";"2";"2";"2";"1";"3";"3";"2";"2";"3";"1";"1";"3";"3";"3";"[18,35]";"3"
"764";"3";"3";"2";"4";"3";"3";"2";"2";"4";"3";"3";"3";"3";"3";"3";"(50,65]";"3"
"765";"3";"3";"2";"4";"2";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"(35,50]";"2"
"766";"3";"3";"3";"3";"4";"3";"2";"3";"3";"3";"3";"3";"3";"3";"3";"(65,96]";"3"
"767";"3";"3";"2";"4";"2";"3";"2";"3";"3";"3";"2";"3";"3";"3";"2";"(50,65]";"1"
"768";"2";"2";"2";"3";"3";"2";"3";"3";"3";"2";"1";"2";"2";"2";"2";"(65,96]";"3"
"769";"3";"2";"2";"3";"3";"3";"2";"2";"3";"3";"3";"3";"3";"3";"3";"(35,50]";"3"
"771";"2";"2";"2";"3";"1";"1";"3";"1";"1";"3";"3";"3";"3";"2";"2";"(50,65]";"3"
"772";"3";"3";"3";"3";"3";"3";"2";"2";"3";"3";"2";"3";"3";"3";"3";"(50,65]";"3"
"773";"3";"2";"3";"4";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"[18,35]";"3"
"775";"2";"3";"2";"3";"2";"3";"3";"2";"4";"3";"3";"2";"2";"2";"2";"(50,65]";"3"
"777";"3";"4";"2";"3";"2";"2";"2";"3";"2";"3";"2";"2";"3";"3";"2";"(35,50]";"3"
"778";"3";"3";"4";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"(35,50]";"3"
"779";"2";"2";"4";"1";"1";"3";"1";"1";"3";"2";"3";"3";"2";"3";"2";"[18,35]";"3"
"780";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"(35,50]";"2"
"781";"2";"2";"2";"4";"3";"3";"3";"3";"4";"2";"2";"2";"3";"2";"2";"(50,65]";"2"
"782";"3";"2";"2";"3";"3";"3";"3";"2";"3";"2";"1";"3";"2";"3";"3";"(35,50]";"3"
"784";"3";"3";"3";"3";"2";"3";"3";"2";"3";"2";"2";"3";"1";"2";"1";"(50,65]";"3"
"785";"1";"1";"1";"3";"1";"3";"1";"1";"3";"1";"1";"2";"1";"1";"1";"(35,50]";"3"
"786";"2";"2";"2";"2";"2";"2";"2";"2";"3";"2";"3";"3";"3";"1";"2";"(35,50]";"2"
"787";"3";"3";"3";"3";"1";"3";"3";"3";"1";"3";"1";"1";"2";"2";"2";"(50,65]";"3"
"788";"4";"3";"3";"3";"4";"4";"4";"4";"4";"3";"3";"3";"3";"3";"3";"(50,65]";"3"
"789";"2";"2";"1";"2";"2";"2";"2";"3";"2";"3";"3";"2";"2";"3";"2";"(65,96]";"2"
"790";"2";"2";"2";"3";"2";"2";"2";"2";"3";"2";"1";"2";"2";"1";"2";"(65,96]";"3"
"791";"3";"4";"3";"3";"2";"4";"3";"2";"3";"3";"3";"3";"3";"3";"3";"[18,35]";"2"
"792";"3";"2";"3";"4";"3";"2";"1";"2";"3";"2";"3";"3";"2";"3";"3";"[18,35]";"2"
"793";"3";"2";"2";"3";"2";"3";"3";"2";"3";"2";"3";"3";"3";"2";"2";"(50,65]";"3"
"794";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"1";"2";"2";"3";"2";"(50,65]";"3"
"795";"2";"3";"3";"3";"2";"2";"2";"3";"3";"2";"3";"1";"3";"3";"2";"(50,65]";"3"
"796";"2";"2";"3";"2";"2";"4";"2";"4";"3";"1";"3";"3";"2";"3";"2";"[18,35]";"1"
"798";"2";"2";"3";"2";"2";"3";"2";"2";"2";"3";"3";"3";"3";"3";"2";"[18,35]";"3"
"799";"2";"2";"3";"4";"3";"4";"3";"2";"4";"3";"3";"3";"3";"3";"2";"(50,65]";"3"
"800";"3";"2";"4";"3";"2";"3";"2";"3";"3";"1";"1";"3";"3";"2";"2";"[18,35]";"3"
"801";"2";"2";"1";"3";"2";"2";"3";"3";"3";"3";"3";"3";"3";"1";"2";"[18,35]";"3"
"802";"1";"3";"3";"2";"2";"3";"3";"3";"3";"2";"3";"3";"3";"2";"3";"[18,35]";"3"
"804";"2";"3";"2";"3";"1";"3";"1";"2";"3";"1";"1";"3";"2";"3";"2";"(35,50]";"3"
"805";"3";"2";"4";"3";"4";"2";"2";"2";"3";"3";"2";"3";"3";"3";"3";"(65,96]";"3"
"806";"2";"3";"2";"3";"2";"2";"2";"2";"3";"1";"1";"1";"1";"1";"1";"(65,96]";"2"
"807";"2";"3";"2";"3";"3";"3";"2";"3";"2";"1";"2";"2";"1";"1";"1";"(50,65]";"2"
"808";"3";"2";"3";"3";"2";"3";"2";"3";"3";"2";"2";"3";"2";"3";"2";"(35,50]";"1"
"809";"4";"3";"2";"4";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"[18,35]";"3"
"810";"2";"2";"2";"2";"2";"2";"2";"2";"3";"1";"1";"1";"1";"1";"1";"(35,50]";"1"
"811";"2";"2";"1";"3";"3";"2";"2";"3";"2";"2";"1";"3";"1";"3";"3";"(35,50]";"3"
"812";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"2";"1";"1";"(50,65]";"2"
"814";"2";"2";"3";"3";"3";"3";"3";"2";"3";"3";"3";"3";"3";"3";"3";"[18,35]";"3"
"815";"2";"4";"3";"4";"3";"2";"4";"3";"3";"3";"3";"3";"2";"3";"3";"(35,50]";"3"
"816";"2";"3";"1";"3";"2";"2";"2";"2";"2";"2";"1";"3";"2";"2";"2";"(35,50]";"1"
"817";"1";"2";"2";"2";"2";"3";"2";"3";"4";"2";"3";"3";"3";"3";"2";"(35,50]";"3"
"818";"3";"2";"2";"4";"1";"3";"1";"3";"3";"3";"3";"3";"3";"3";"1";"[18,35]";"3"
"819";"3";"3";"3";"3";"3";"3";"1";"1";"1";"3";"2";"3";"3";"3";"3";"(35,50]";"3"
"821";"2";"4";"3";"3";"3";"3";"3";"2";"4";"3";"3";"3";"3";"3";"2";"(35,50]";"3"
"822";"2";"3";"3";"3";"2";"3";"2";"2";"3";"3";"3";"2";"2";"3";"3";"(35,50]";"2"
"823";"1";"2";"1";"1";"1";"1";"1";"1";"1";"2";"3";"2";"3";"3";"2";"(65,96]";"2"
"824";"2";"4";"1";"4";"3";"3";"4";"1";"4";"3";"3";"2";"2";"3";"3";"(65,96]";"2"
"825";"2";"3";"2";"3";"3";"2";"2";"2";"3";"3";"2";"2";"3";"3";"2";"(65,96]";"2"
"826";"3";"2";"4";"3";"2";"3";"3";"3";"3";"1";"1";"3";"3";"3";"3";"(50,65]";"3"
"827";"3";"3";"2";"3";"2";"2";"3";"2";"3";"3";"3";"3";"3";"3";"3";"(35,50]";"2"
"829";"2";"2";"2";"3";"2";"2";"2";"2";"3";"3";"2";"3";"3";"3";"3";"(65,96]";"2"
"830";"1";"2";"2";"2";"2";"1";"1";"3";"2";"2";"2";"2";"2";"2";"2";"(50,65]";"3"
"831";"2";"2";"1";"2";"2";"2";"2";"3";"2";"2";"3";"2";"3";"2";"2";"(35,50]";"2"
"832";"3";"3";"3";"3";"2";"3";"2";"3";"3";"2";"3";"3";"3";"3";"2";"[18,35]";"3"
"833";"3";"2";"2";"3";"2";"3";"1";"3";"3";"1";"1";"1";"3";"3";"3";"(35,50]";"3"
"834";"2";"2";"4";"4";"2";"3";"3";"4";"4";"3";"3";"3";"3";"3";"3";"(50,65]";"3"
"835";"3";"2";"3";"3";"2";"2";"3";"2";"2";"2";"3";"3";"3";"3";"2";"[18,35]";"2"
"836";"3";"3";"2";"4";"2";"3";"3";"2";"3";"3";"3";"3";"3";"3";"3";"(50,65]";"3"
"837";"2";"1";"1";"3";"2";"1";"1";"2";"1";"1";"1";"2";"2";"3";"2";"(50,65]";"3"
"838";"1";"2";"3";"3";"1";"3";"3";"2";"3";"3";"2";"3";"1";"2";"2";"(35,50]";"3"
"839";"3";"2";"4";"3";"1";"2";"2";"2";"3";"2";"3";"3";"2";"3";"2";"[18,35]";"3"
"840";"2";"2";"2";"3";"3";"2";"2";"3";"2";"3";"3";"3";"2";"3";"2";"(50,65]";"3"
"841";"3";"2";"1";"3";"2";"3";"3";"2";"4";"3";"1";"1";"2";"3";"3";"[18,35]";"1"
"842";"2";"2";"3";"3";"3";"3";"2";"2";"3";"3";"3";"3";"3";"3";"2";"[18,35]";"3"
"843";"3";"3";"2";"3";"3";"3";"2";"3";"3";"3";"3";"3";"3";"3";"1";"(50,65]";"3"
"844";"1";"1";"2";"2";"2";"1";"1";"2";"3";"3";"3";"3";"1";"3";"2";"(50,65]";"3"
"845";"1";"1";"1";"3";"1";"2";"2";"1";"2";"2";"1";"2";"2";"2";"2";"(50,65]";"2"
"846";"3";"1";"2";"1";"4";"2";"2";"4";"2";"2";"1";"3";"2";"2";"3";"(50,65]";"3"
"847";"2";"2";"2";"3";"2";"3";"3";"2";"3";"3";"1";"3";"2";"3";"3";"(50,65]";"2"
"848";"2";"2";"2";"2";"3";"2";"2";"3";"2";"1";"1";"1";"2";"1";"1";"(50,65]";"1"
"849";"2";"2";"3";"3";"3";"2";"4";"3";"3";"2";"2";"3";"2";"3";"3";"(35,50]";"3"
"850";"1";"2";"1";"2";"2";"2";"2";"2";"2";"3";"2";"3";"2";"3";"2";"(35,50]";"1"
"851";"2";"2";"2";"2";"2";"2";"2";"3";"2";"2";"2";"2";"2";"3";"2";"(50,65]";"3"
"852";"2";"1";"2";"3";"3";"2";"2";"2";"2";"3";"3";"3";"3";"3";"3";"(50,65]";"3"
"855";"2";"2";"3";"3";"2";"3";"3";"3";"3";"2";"2";"3";"2";"3";"2";"[18,35]";"3"
"856";"1";"2";"2";"3";"3";"2";"3";"2";"2";"2";"2";"3";"2";"3";"3";"[18,35]";"3"
"858";"1";"1";"2";"2";"2";"2";"1";"3";"2";"3";"1";"3";"1";"3";"3";"[18,35]";"2"
"859";"3";"3";"3";"3";"3";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"(65,96]";"2"
"861";"4";"4";"4";"4";"4";"4";"4";"4";"3";"3";"3";"3";"3";"3";"3";"(65,96]";"3"
"862";"3";"3";"2";"3";"2";"3";"2";"2";"3";"3";"3";"3";"3";"3";"3";"(50,65]";"2"
"863";"3";"3";"4";"3";"4";"4";"4";"3";"4";"3";"3";"3";"2";"3";"3";"(35,50]";"3"
"864";"2";"2";"2";"3";"2";"2";"2";"3";"3";"2";"3";"3";"2";"2";"2";"(65,96]";"3"
"865";"3";"3";"3";"3";"1";"3";"1";"1";"3";"3";"1";"3";"2";"3";"1";"(35,50]";"3"
"866";"1";"1";"3";"2";"2";"1";"2";"3";"3";"3";"1";"3";"2";"3";"3";"[18,35]";"3"
"867";"1";"2";"3";"2";"1";"2";"1";"2";"2";"2";"2";"2";"2";"2";"1";"[18,35]";"3"
"868";"2";"2";"2";"2";"2";"2";"3";"2";"2";"2";"2";"2";"2";"2";"2";"(50,65]";"2"
"870";"1";"1";"2";"2";"2";"2";"1";"2";"2";"1";"3";"2";"2";"2";"2";"(65,96]";"3"
"871";"3";"1";"2";"3";"2";"2";"2";"2";"3";"3";"2";"3";"2";"3";"3";"(50,65]";"3"
"872";"2";"2";"2";"4";"3";"3";"3";"2";"2";"2";"2";"1";"2";"3";"3";"(50,65]";"3"
"873";"3";"3";"4";"4";"3";"4";"3";"3";"4";"3";"3";"2";"3";"3";"2";"(50,65]";"3"
"874";"3";"3";"3";"3";"3";"3";"3";"3";"4";"3";"2";"2";"3";"3";"3";"(35,50]";"3"
"875";"4";"1";"2";"3";"3";"2";"1";"2";"2";"2";"2";"3";"3";"3";"2";"(50,65]";"3"
"876";"2";"2";"2";"3";"2";"3";"2";"2";"3";"3";"3";"3";"3";"3";"3";"(50,65]";"2"
"877";"2";"2";"2";"2";"2";"3";"1";"2";"3";"2";"2";"2";"1";"2";"3";"(50,65]";"3"
"878";"1";"1";"2";"2";"2";"3";"1";"2";"3";"3";"3";"3";"3";"3";"3";"(35,50]";"2"
"879";"3";"3";"3";"3";"1";"3";"2";"3";"4";"3";"3";"3";"3";"3";"2";"(50,65]";"3"
"880";"2";"1";"2";"2";"2";"2";"1";"2";"2";"2";"3";"3";"2";"3";"1";"(35,50]";"3"
"881";"2";"1";"1";"3";"2";"2";"2";"2";"3";"2";"1";"3";"2";"3";"2";"(50,65]";"3"
"884";"2";"2";"2";"3";"3";"2";"2";"3";"3";"2";"2";"3";"2";"2";"2";"(50,65]";"3"
"885";"2";"2";"3";"3";"3";"2";"2";"3";"3";"1";"2";"2";"2";"3";"2";"(50,65]";"3"
"886";"2";"2";"2";"2";"2";"3";"2";"2";"3";"3";"1";"3";"3";"1";"2";"(50,65]";"3"
"887";"2";"3";"2";"3";"2";"2";"2";"2";"3";"2";"2";"3";"2";"3";"2";"[18,35]";"2"
"888";"2";"2";"2";"3";"2";"3";"2";"3";"3";"2";"2";"2";"2";"2";"2";"(50,65]";"2"
"889";"2";"2";"2";"3";"4";"2";"2";"2";"3";"2";"2";"2";"3";"2";"2";"(35,50]";"3"
"891";"3";"3";"4";"3";"2";"3";"1";"1";"3";"3";"3";"3";"3";"3";"3";"(35,50]";"3"
"892";"3";"2";"3";"4";"4";"3";"3";"2";"4";"3";"3";"3";"3";"3";"3";"(50,65]";"3"
"893";"2";"2";"3";"3";"2";"3";"2";"3";"3";"3";"1";"3";"1";"3";"1";"(50,65]";"3"
"894";"2";"2";"2";"3";"2";"2";"2";"3";"3";"2";"1";"2";"2";"1";"2";"(35,50]";"2"
"895";"3";"2";"2";"3";"2";"2";"2";"2";"3";"3";"3";"3";"3";"3";"3";"(35,50]";"3"
"896";"2";"2";"3";"3";"3";"3";"3";"3";"3";"2";"2";"2";"2";"2";"2";"(50,65]";"3"
"897";"3";"3";"2";"3";"1";"3";"3";"3";"2";"3";"3";"2";"3";"2";"3";"(50,65]";"1"
"899";"2";"1";"2";"3";"2";"2";"2";"3";"3";"3";"2";"3";"3";"3";"3";"(50,65]";"3"
"900";"2";"3";"2";"3";"2";"3";"2";"2";"4";"2";"3";"3";"2";"3";"1";"(65,96]";"3"
"901";"2";"1";"2";"2";"1";"2";"1";"1";"2";"2";"1";"1";"1";"3";"1";"(50,65]";"3"
"902";"2";"2";"2";"3";"2";"3";"1";"2";"3";"2";"2";"3";"2";"3";"1";"(35,50]";"1"
"903";"2";"1";"1";"4";"2";"2";"2";"2";"3";"1";"2";"1";"1";"2";"1";"(65,96]";"1"
"905";"3";"1";"2";"3";"2";"2";"1";"2";"1";"1";"1";"3";"1";"1";"2";"(50,65]";"3"
"906";"3";"4";"3";"3";"2";"3";"2";"3";"3";"3";"3";"3";"3";"3";"3";"(35,50]";"3"
"907";"2";"2";"1";"2";"2";"2";"3";"2";"1";"2";"1";"1";"2";"1";"1";"(50,65]";"2"
"909";"1";"1";"1";"3";"2";"2";"2";"2";"1";"2";"2";"3";"3";"1";"2";"(65,96]";"1"
"910";"2";"3";"3";"2";"1";"2";"3";"3";"2";"1";"1";"1";"1";"1";"1";"(50,65]";"2"
"912";"2";"2";"2";"3";"2";"2";"2";"3";"3";"1";"2";"2";"1";"3";"2";"(50,65]";"1"
"913";"2";"2";"2";"4";"2";"2";"2";"2";"3";"2";"3";"3";"3";"3";"3";"(35,50]";"2"
"914";"2";"2";"2";"2";"2";"3";"2";"2";"2";"2";"2";"2";"1";"1";"2";"(65,96]";"2"
"915";"3";"3";"3";"3";"3";"3";"3";"3";"3";"2";"3";"3";"3";"3";"2";"(65,96]";"3"
"916";"2";"2";"2";"2";"1";"2";"2";"2";"3";"3";"2";"3";"2";"3";"2";"(50,65]";"2"
"917";"2";"2";"1";"2";"2";"3";"2";"3";"3";"2";"2";"3";"3";"3";"3";"(35,50]";"3"
"919";"2";"2";"2";"2";"2";"2";"2";"3";"3";"3";"2";"3";"2";"3";"3";"[18,35]";"3"
"920";"2";"2";"2";"3";"1";"2";"3";"2";"3";"2";"2";"2";"2";"2";"2";"(50,65]";"3"
"921";"3";"3";"2";"3";"2";"3";"3";"2";"3";"3";"3";"3";"3";"3";"3";"(35,50]";"2"
"922";"3";"3";"4";"4";"4";"3";"2";"3";"3";"3";"3";"3";"3";"3";"3";"(35,50]";"3"
"924";"2";"2";"3";"3";"2";"2";"2";"3";"2";"3";"3";"3";"2";"3";"2";"(35,50]";"3"
"925";"2";"2";"2";"4";"3";"3";"2";"2";"3";"2";"1";"3";"2";"2";"3";"(50,65]";"2"
"926";"1";"1";"1";"3";"3";"3";"2";"2";"3";"3";"3";"2";"3";"1";"3";"(35,50]";"3"
"928";"2";"4";"2";"4";"4";"3";"2";"2";"3";"3";"3";"3";"2";"2";"2";"(50,65]";"3"
"929";"4";"3";"3";"4";"4";"4";"3";"4";"4";"3";"3";"3";"3";"3";"3";"(35,50]";"3"
"930";"2";"2";"2";"3";"2";"2";"2";"2";"3";"2";"3";"3";"2";"2";"1";"(65,96]";"2"
"931";"2";"2";"2";"2";"2";"3";"2";"2";"3";"2";"2";"2";"2";"3";"1";"(65,96]";"2"
"932";"3";"3";"2";"2";"2";"2";"3";"2";"2";"3";"3";"3";"3";"3";"3";"[18,35]";"3"
"933";"1";"1";"1";"2";"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"(65,96]";"1"
"934";"1";"1";"3";"3";"1";"1";"1";"3";"1";"3";"3";"3";"1";"3";"3";"[18,35]";"3"
"935";"3";"3";"2";"3";"3";"3";"3";"2";"3";"3";"3";"3";"2";"3";"3";"[18,35]";"2"
"936";"3";"2";"3";"3";"2";"3";"2";"2";"3";"3";"2";"3";"2";"3";"3";"[18,35]";"1"
"937";"2";"3";"3";"3";"2";"2";"1";"2";"3";"1";"1";"3";"1";"3";"1";"[18,35]";"2"
"938";"3";"3";"3";"3";"3";"3";"2";"3";"3";"2";"2";"1";"1";"2";"1";"(50,65]";"2"
"939";"3";"2";"2";"3";"3";"3";"2";"3";"4";"3";"3";"1";"1";"3";"2";"(50,65]";"3"
"940";"3";"3";"4";"3";"2";"4";"2";"2";"3";"1";"3";"3";"3";"3";"1";"(35,50]";"3"
"941";"2";"2";"3";"3";"2";"2";"2";"2";"2";"1";"1";"3";"1";"2";"1";"[18,35]";"3"
"942";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"1";"3";"3";"[18,35]";"3"
"943";"3";"1";"2";"2";"2";"3";"1";"2";"3";"3";"1";"3";"3";"1";"3";"(50,65]";"3"
"944";"4";"4";"4";"4";"4";"4";"4";"4";"4";"3";"2";"3";"3";"3";"3";"[18,35]";"3"
"945";"1";"3";"3";"2";"2";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"[18,35]";"3"
"946";"2";"2";"1";"2";"1";"2";"4";"3";"3";"1";"2";"3";"3";"3";"3";"(50,65]";"2"
"947";"1";"1";"2";"2";"1";"2";"2";"2";"2";"2";"1";"3";"1";"1";"2";"[18,35]";"1"
"948";"2";"2";"3";"2";"3";"2";"2";"2";"3";"3";"3";"3";"3";"3";"3";"(35,50]";"3"
"949";"2";"3";"2";"3";"2";"2";"3";"3";"3";"3";"3";"3";"3";"3";"3";"(50,65]";"3"
"950";"2";"3";"3";"3";"2";"2";"3";"2";"3";"3";"2";"3";"3";"2";"2";"(35,50]";"3"
"951";"3";"3";"2";"3";"3";"3";"2";"2";"3";"1";"3";"3";"1";"1";"3";"(65,96]";"3"
"952";"4";"3";"2";"4";"3";"4";"4";"4";"3";"1";"2";"3";"3";"3";"3";"[18,35]";"3"
"953";"2";"2";"2";"2";"2";"3";"3";"2";"3";"3";"2";"2";"2";"3";"3";"(35,50]";"1"
"954";"3";"2";"2";"4";"2";"2";"2";"4";"2";"2";"2";"3";"2";"2";"2";"(65,96]";"3"
"955";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"(35,50]";"3"
"956";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"1";"1";"1";"3";"1";"(65,96]";"3"
"957";"3";"3";"4";"4";"3";"3";"3";"4";"4";"3";"3";"3";"3";"3";"3";"(50,65]";"3"
"959";"2";"2";"2";"4";"2";"3";"2";"2";"2";"3";"2";"3";"2";"3";"2";"(65,96]";"2"
"960";"2";"2";"2";"3";"2";"2";"2";"3";"2";"3";"2";"3";"3";"3";"3";"(50,65]";"3"
"961";"3";"3";"2";"2";"1";"3";"3";"3";"4";"3";"1";"3";"3";"3";"3";"[18,35]";"3"
"962";"2";"2";"1";"2";"1";"2";"3";"3";"3";"2";"2";"3";"2";"3";"2";"[18,35]";"1"
"964";"2";"3";"3";"3";"4";"2";"3";"4";"2";"3";"1";"2";"2";"3";"3";"[18,35]";"3"
"965";"2";"2";"3";"3";"3";"3";"3";"3";"4";"3";"1";"3";"3";"3";"2";"(50,65]";"3"
"967";"2";"2";"2";"2";"1";"3";"3";"2";"2";"2";"2";"2";"2";"3";"1";"[18,35]";"3"
